Index;sexe;Age;Enfant_conduite_accompagne_logique;nombre_enfants_logique;Revenus_intervale;usage_vehicule;type_vehicule;Est_rouge_logique;points_perdus;age_vehicule;type_conduite;date_demande;formule;Tarif_devis_intervale
198;M;84;FAUX;FAUX;100k-125k;Commercial;Panel Truck;FAUX;2;13.0;Highly Urban/ Urban;27/04/2022;dev_express;201-300
199;F;49;FAUX;VRAI;25k-50k;Private;z_SUV;FAUX;0;4.0;Highly Urban/ Urban;25/05/2022;dev_integral;301-400
200;F;66;FAUX;FAUX;25k-50k;Commercial;Minivan;FAUX;0;;z_Highly Rural/ Rural;10/02/2022;dev_express;201-300
201;M;15;FAUX;FAUX;25k-50k;Private;Sports Car;VRAI;9;8.0;Highly Urban/ Urban;14/03/2022;dev_express;201-300
202;M;72;FAUX;FAUX;50k-75k;Commercial;Pickup;VRAI;4;7.0;Highly Urban/ Urban;11/05/2022;dev_integral;301-400
203;M;63;VRAI;VRAI;25k-50k;Commercial;Minivan;VRAI;0;1.0;Highly Urban/ Urban;09/04/2022;dev_premium;401-500
204;F;77;FAUX;FAUX;50k-75k;Commercial;z_SUV;FAUX;2;14.0;z_Highly Rural/ Rural;14/04/2022;dev_premium;501-600
205;M;83;FAUX;VRAI;25k-50k;Private;Sports Car;FAUX;3;7.0;Highly Urban/ Urban;18/04/2022;dev_express;201-300
206;M;51;FAUX;FAUX;50k-75k;Commercial;Minivan;VRAI;0;1.0;Highly Urban/ Urban;23/03/2022;dev_express;201-300
207;M;82;FAUX;FAUX;50k-75k;Commercial;Minivan;VRAI;6;;Highly Urban/ Urban;09/05/2022;dev_integral;301-400
208;M;59;FAUX;FAUX;<25k;Private;Minivan;FAUX;0;12.0;z_Highly Rural/ Rural;04/02/2022;dev_express;201-300
209;M;62;VRAI;VRAI;25k-50k;Commercial;Panel Truck;VRAI;1;8.0;Highly Urban/ Urban;19/04/2022;dev_premium;501-600
210;F;52;FAUX;VRAI;25k-50k;Private;z_SUV;FAUX;0;5.0;z_Highly Rural/ Rural;03/04/2022;dev_integral;301-400
211;F;19;VRAI;VRAI;50k-75k;Private;Minivan;FAUX;1;8.0;z_Highly Rural/ Rural;18/01/2022;dev_integral;201-300
212;F;49;FAUX;FAUX;100k-125k;Commercial;Panel Truck;VRAI;1;16.0;Highly Urban/ Urban;23/03/2022;dev_express;201-300
213;F;63;FAUX;FAUX;25k-50k;Private;z_SUV;VRAI;1;;Highly Urban/ Urban;02/05/2022;dev_integral;201-300
214;F;50;FAUX;FAUX;25k-50k;Commercial;Van;FAUX;1;5.0;Highly Urban/ Urban;19/01/2022;dev_express;201-300
215;M;57;FAUX;VRAI;25k-50k;Commercial;Van;FAUX;5;;Highly Urban/ Urban;15/02/2022;dev_integral;201-300
216;M;64;FAUX;FAUX;100k-125k;Private;z_SUV;FAUX;0;13.0;Highly Urban/ Urban;03/01/2022;dev_premium;501-600
217;F;53;FAUX;VRAI;25k-50k;Private;Pickup;VRAI;2;6.0;Highly Urban/ Urban;27/03/2022;dev_express;201-300
218;F;6;FAUX;FAUX;50k-75k;Private;z_SUV;FAUX;8;19.0;Highly Urban/ Urban;02/04/2022;dev_premium;401-500
219;M;63;FAUX;FAUX;<25k;Private;Sports Car;FAUX;0;1.0;Highly Urban/ Urban;30/04/2022;dev_premium;501-600
220;M;70;VRAI;VRAI;25k-50k;Private;Minivan;FAUX;1;1.0;z_Highly Rural/ Rural;07/04/2022;dev_integral;301-400
221;M;73;FAUX;VRAI;100k-125k;Private;Sports Car;FAUX;0;16.0;Highly Urban/ Urban;22/01/2022;dev_integral;301-400
222;M;68;VRAI;VRAI;;Commercial;Pickup;FAUX;0;18.0;z_Highly Rural/ Rural;07/05/2022;dev_integral;301-400
223;F;30;FAUX;FAUX;75k-100k;Private;z_SUV;FAUX;4;3.0;Highly Urban/ Urban;07/01/2022;dev_premium;501-600
224;F;4;FAUX;VRAI;100k-125k;Commercial;z_SUV;FAUX;5;5.0;Highly Urban/ Urban;05/01/2022;dev_integral;301-400
225;F;83;FAUX;FAUX;25k-50k;Commercial;Minivan;FAUX;0;1.0;Highly Urban/ Urban;13/05/2022;dev_integral;301-400
226;M;55;FAUX;FAUX;>125k;Private;Minivan;FAUX;4;10.0;Highly Urban/ Urban;11/05/2022;dev_express;201-300
227;F;65;FAUX;FAUX;25k-50k;Private;z_SUV;FAUX;3;9.0;Highly Urban/ Urban;29/03/2022;dev_integral;301-400
228;M;26;FAUX;VRAI;25k-50k;Private;z_SUV;FAUX;0;3.0;z_Highly Rural/ Rural;12/02/2022;dev_premium;401-500
229;F;69;FAUX;FAUX;<25k;Private;Minivan;VRAI;0;1.0;Highly Urban/ Urban;18/03/2022;dev_premium;301-400
230;F;82;FAUX;FAUX;25k-50k;Private;Pickup;VRAI;5;1.0;Highly Urban/ Urban;25/01/2022;dev_express;201-300
231;F;26;FAUX;FAUX;50k-75k;Private;z_SUV;FAUX;3;;Highly Urban/ Urban;11/05/2022;dev_express;201-300
232;M;3;VRAI;VRAI;50k-75k;Private;Minivan;VRAI;0;7.0;Highly Urban/ Urban;04/05/2022;dev_express;201-300
233;F;31;FAUX;FAUX;75k-100k;Private;Minivan;VRAI;3;;Highly Urban/ Urban;22/01/2022;dev_express;201-300
234;F;43;FAUX;FAUX;50k-75k;Commercial;z_SUV;FAUX;2;10.0;Highly Urban/ Urban;06/01/2022;dev_express;201-300
235;F;67;FAUX;VRAI;<25k;Private;z_SUV;FAUX;2;7.0;z_Highly Rural/ Rural;11/04/2022;dev_integral;301-400
236;M;68;FAUX;FAUX;25k-50k;Private;Pickup;FAUX;0;16.0;Highly Urban/ Urban;22/03/2022;dev_integral;201-300
237;F;37;FAUX;FAUX;>125k;Commercial;Panel Truck;FAUX;0;15.0;Highly Urban/ Urban;31/03/2022;dev_premium;501-600
238;F;66;FAUX;FAUX;>125k;Private;z_SUV;FAUX;0;15.0;Highly Urban/ Urban;09/03/2022;dev_integral;201-300
239;M;72;FAUX;VRAI;25k-50k;Private;z_SUV;FAUX;5;1.0;Highly Urban/ Urban;07/05/2022;dev_integral;201-300
240;F;69;FAUX;FAUX;75k-100k;Private;Minivan;VRAI;3;10.0;Highly Urban/ Urban;24/02/2022;dev_integral;301-400
241;F;42;FAUX;FAUX;50k-75k;Private;Minivan;FAUX;0;15.0;Highly Urban/ Urban;24/05/2022;dev_express;201-300
242;M;63;FAUX;FAUX;75k-100k;Commercial;z_SUV;FAUX;0;7.0;Highly Urban/ Urban;25/02/2022;dev_express;201-300
243;F;83;FAUX;FAUX;<25k;Commercial;Pickup;VRAI;0;11.0;Highly Urban/ Urban;29/03/2022;dev_express;201-300
244;F;78;VRAI;VRAI;75k-100k;Private;Sports Car;FAUX;6;12.0;Highly Urban/ Urban;10/05/2022;dev_express;201-300
245;M;10;FAUX;VRAI;25k-50k;Private;z_SUV;FAUX;3;5.0;Highly Urban/ Urban;14/05/2022;dev_integral;201-300
246;F;86;FAUX;FAUX;;Private;Van;VRAI;3;12.0;Highly Urban/ Urban;19/01/2022;dev_integral;201-300
247;M;33;VRAI;VRAI;50k-75k;Commercial;Pickup;FAUX;0;7.0;Highly Urban/ Urban;27/05/2022;dev_premium;401-500
248;M;8;FAUX;VRAI;<25k;Commercial;Van;VRAI;0;1.0;z_Highly Rural/ Rural;13/01/2022;dev_integral;301-400
249;M;36;FAUX;FAUX;25k-50k;Private;Pickup;VRAI;0;10.0;Highly Urban/ Urban;08/04/2022;dev_integral;301-400
250;F;30;FAUX;FAUX;75k-100k;Private;Minivan;FAUX;2;15.0;Highly Urban/ Urban;26/04/2022;dev_integral;201-300
251;M;17;FAUX;FAUX;100k-125k;Private;z_SUV;FAUX;1;20.0;Highly Urban/ Urban;30/01/2022;dev_integral;301-400
252;F;36;FAUX;FAUX;50k-75k;Commercial;z_SUV;FAUX;5;12.0;z_Highly Rural/ Rural;18/05/2022;dev_express;201-300
253;M;54;FAUX;FAUX;25k-50k;Commercial;Minivan;FAUX;3;6.0;Highly Urban/ Urban;27/01/2022;dev_premium;401-500
254;F;57;FAUX;FAUX;>125k;Private;Van;VRAI;0;18.0;Highly Urban/ Urban;13/02/2022;dev_express;201-300
255;M;7;FAUX;FAUX;25k-50k;Private;Minivan;FAUX;0;8.0;Highly Urban/ Urban;26/04/2022;dev_integral;301-400
256;M;60;FAUX;VRAI;75k-100k;Commercial;Van;VRAI;2;;z_Highly Rural/ Rural;26/05/2022;dev_premium;401-500
257;M;58;FAUX;VRAI;;Private;Minivan;FAUX;0;16.0;Highly Urban/ Urban;06/02/2022;dev_integral;301-400
258;F;21;VRAI;VRAI;25k-50k;Private;Minivan;FAUX;0;5.0;Highly Urban/ Urban;05/02/2022;dev_express;201-300
259;F;86;FAUX;FAUX;<25k;Private;Minivan;VRAI;0;1.0;z_Highly Rural/ Rural;26/03/2022;dev_premium;401-500
260;F;69;FAUX;FAUX;25k-50k;Commercial;Panel Truck;FAUX;4;10.0;Highly Urban/ Urban;14/02/2022;dev_express;201-300
261;F;9;FAUX;FAUX;50k-75k;Commercial;Panel Truck;FAUX;5;8.0;Highly Urban/ Urban;17/04/2022;dev_integral;301-400
262;F;79;FAUX;VRAI;75k-100k;Commercial;Van;VRAI;1;9.0;Highly Urban/ Urban;12/02/2022;dev_express;201-300
263;M;8;FAUX;FAUX;>125k;Commercial;Pickup;FAUX;0;17.0;Highly Urban/ Urban;20/03/2022;dev_integral;201-300
264;M;13;FAUX;FAUX;75k-100k;Commercial;Van;FAUX;7;10.0;Highly Urban/ Urban;24/03/2022;dev_express;201-300
265;M;76;FAUX;FAUX;<25k;Private;z_SUV;FAUX;4;;Highly Urban/ Urban;28/05/2022;dev_integral;301-400
266;M;56;FAUX;FAUX;50k-75k;Private;z_SUV;FAUX;1;7.0;Highly Urban/ Urban;27/04/2022;dev_integral;301-400
267;M;50;FAUX;FAUX;75k-100k;Private;z_SUV;FAUX;1;1.0;z_Highly Rural/ Rural;28/01/2022;dev_premium;301-400
268;M;14;FAUX;FAUX;>125k;Commercial;Panel Truck;FAUX;4;11.0;Highly Urban/ Urban;21/03/2022;dev_express;201-300
269;F;70;FAUX;FAUX;50k-75k;Private;z_SUV;FAUX;0;12.0;Highly Urban/ Urban;07/01/2022;dev_integral;301-400
270;F;58;FAUX;FAUX;100k-125k;Private;Minivan;FAUX;4;13.0;Highly Urban/ Urban;15/05/2022;dev_premium;301-400
271;F;35;FAUX;FAUX;25k-50k;Commercial;Sports Car;FAUX;4;12.0;Highly Urban/ Urban;09/02/2022;dev_integral;301-400
272;M;68;FAUX;FAUX;>125k;Commercial;Pickup;FAUX;3;13.0;Highly Urban/ Urban;04/02/2022;dev_express;201-300
273;F;42;FAUX;FAUX;75k-100k;Commercial;Van;FAUX;3;8.0;Highly Urban/ Urban;30/04/2022;dev_integral;301-400
274;M;22;FAUX;FAUX;50k-75k;Private;Van;FAUX;0;1.0;Highly Urban/ Urban;06/01/2022;dev_express;201-300
275;M;49;FAUX;VRAI;50k-75k;Private;z_SUV;FAUX;2;1.0;Highly Urban/ Urban;12/04/2022;dev_express;201-300
276;F;85;FAUX;FAUX;75k-100k;Commercial;Panel Truck;FAUX;5;10.0;Highly Urban/ Urban;25/04/2022;dev_express;201-300
277;M;35;VRAI;VRAI;75k-100k;Commercial;Pickup;FAUX;4;8.0;Highly Urban/ Urban;01/01/2022;dev_integral;301-400
278;M;58;FAUX;FAUX;25k-50k;Commercial;Pickup;VRAI;5;1.0;Highly Urban/ Urban;16/03/2022;dev_express;201-300
279;M;23;FAUX;FAUX;>125k;Commercial;Panel Truck;FAUX;3;20.0;Highly Urban/ Urban;20/03/2022;dev_integral;301-400
280;M;72;FAUX;FAUX;<25k;Private;z_SUV;FAUX;3;2.0;Highly Urban/ Urban;20/01/2022;dev_integral;201-300
281;M;57;FAUX;FAUX;50k-75k;Private;Minivan;VRAI;0;12.0;Highly Urban/ Urban;10/05/2022;dev_integral;301-400
282;M;5;FAUX;FAUX;<25k;Private;Sports Car;FAUX;5;11.0;Highly Urban/ Urban;10/01/2022;dev_premium;501-600
283;F;5;FAUX;FAUX;50k-75k;Private;Sports Car;FAUX;0;12.0;z_Highly Rural/ Rural;28/03/2022;dev_integral;301-400
284;F;45;FAUX;FAUX;25k-50k;Private;Minivan;VRAI;4;11.0;Highly Urban/ Urban;13/04/2022;dev_integral;301-400
285;F;86;FAUX;FAUX;75k-100k;Private;z_SUV;FAUX;0;1.0;Highly Urban/ Urban;21/02/2022;dev_integral;301-400
286;F;17;FAUX;FAUX;25k-50k;Private;Pickup;VRAI;2;1.0;Highly Urban/ Urban;15/01/2022;dev_integral;301-400
287;F;40;FAUX;FAUX;25k-50k;Commercial;Pickup;VRAI;0;10.0;z_Highly Rural/ Rural;25/01/2022;dev_integral;301-400
288;M;71;FAUX;FAUX;;Private;Minivan;FAUX;2;7.0;Highly Urban/ Urban;18/01/2022;dev_integral;301-400
289;F;76;FAUX;FAUX;>125k;Commercial;Panel Truck;VRAI;0;17.0;Highly Urban/ Urban;15/02/2022;dev_express;201-300
290;M;59;FAUX;VRAI;75k-100k;Private;Pickup;FAUX;1;14.0;Highly Urban/ Urban;27/01/2022;dev_premium;501-600
291;M;57;FAUX;FAUX;25k-50k;Private;Pickup;FAUX;4;9.0;Highly Urban/ Urban;18/03/2022;dev_express;201-300
292;M;17;FAUX;FAUX;50k-75k;Private;Pickup;FAUX;0;8.0;Highly Urban/ Urban;22/03/2022;dev_integral;301-400
293;M;3;FAUX;FAUX;25k-50k;Private;Minivan;FAUX;3;;Highly Urban/ Urban;07/03/2022;dev_integral;301-400
294;M;6;FAUX;FAUX;50k-75k;Commercial;Van;VRAI;0;4.0;Highly Urban/ Urban;18/05/2022;dev_integral;301-400
295;F;22;FAUX;VRAI;25k-50k;Private;z_SUV;FAUX;1;1.0;Highly Urban/ Urban;01/05/2022;dev_express;201-300
296;F;45;FAUX;VRAI;75k-100k;Private;z_SUV;FAUX;0;11.0;Highly Urban/ Urban;26/05/2022;dev_integral;301-400
297;F;13;FAUX;FAUX;25k-50k;Private;z_SUV;FAUX;6;;Highly Urban/ Urban;23/04/2022;dev_premium;501-600
298;F;89;VRAI;VRAI;100k-125k;Private;Minivan;VRAI;1;11.0;Highly Urban/ Urban;27/02/2022;dev_express;201-300
299;F;68;FAUX;FAUX;50k-75k;Private;Pickup;VRAI;2;10.0;Highly Urban/ Urban;16/04/2022;dev_integral;201-300
300;F;19;FAUX;VRAI;25k-50k;Commercial;Panel Truck;FAUX;1;21.0;Highly Urban/ Urban;21/03/2022;dev_express;201-300
301;M;44;FAUX;FAUX;<25k;Commercial;Sports Car;FAUX;0;1.0;z_Highly Rural/ Rural;10/05/2022;dev_integral;201-300
302;F;3;FAUX;VRAI;75k-100k;Private;Pickup;FAUX;0;10.0;z_Highly Rural/ Rural;11/04/2022;dev_integral;201-300
303;F;50;FAUX;VRAI;<25k;Private;z_SUV;FAUX;0;1.0;z_Highly Rural/ Rural;13/05/2022;dev_express;201-300
304;F;69;VRAI;VRAI;<25k;Private;Minivan;VRAI;3;1.0;Highly Urban/ Urban;26/05/2022;dev_integral;301-400
305;F;80;FAUX;FAUX;25k-50k;Private;Pickup;FAUX;0;10.0;z_Highly Rural/ Rural;03/03/2022;dev_express;201-300
306;F;69;FAUX;FAUX;>125k;Private;Sports Car;FAUX;0;12.0;Highly Urban/ Urban;26/01/2022;dev_express;201-300
307;M;10;FAUX;FAUX;>125k;Commercial;Pickup;VRAI;4;20.0;Highly Urban/ Urban;22/01/2022;dev_express;201-300
308;F;72;FAUX;FAUX;<25k;Private;z_SUV;FAUX;0;3.0;Highly Urban/ Urban;25/05/2022;dev_express;201-300
309;F;18;FAUX;FAUX;50k-75k;Private;Minivan;FAUX;0;11.0;Highly Urban/ Urban;03/02/2022;dev_premium;401-500
310;F;52;FAUX;FAUX;>125k;Commercial;Panel Truck;VRAI;5;19.0;Highly Urban/ Urban;08/01/2022;dev_express;201-300
311;F;47;FAUX;FAUX;<25k;Commercial;Minivan;FAUX;0;11.0;z_Highly Rural/ Rural;02/05/2022;dev_express;201-300
312;M;35;FAUX;FAUX;25k-50k;Commercial;Sports Car;VRAI;0;7.0;Highly Urban/ Urban;18/05/2022;dev_express;201-300
313;M;38;FAUX;FAUX;25k-50k;Private;Minivan;FAUX;0;8.0;z_Highly Rural/ Rural;25/05/2022;dev_premium;401-500
314;M;66;VRAI;VRAI;25k-50k;Private;Sports Car;FAUX;2;1.0;Highly Urban/ Urban;04/05/2022;dev_integral;301-400
315;F;61;FAUX;VRAI;>125k;Private;Pickup;FAUX;2;12.0;Highly Urban/ Urban;16/04/2022;dev_integral;301-400
316;M;20;FAUX;FAUX;<25k;Private;Minivan;FAUX;0;1.0;Highly Urban/ Urban;17/02/2022;dev_integral;301-400
317;M;82;FAUX;FAUX;100k-125k;Private;Minivan;VRAI;0;11.0;Highly Urban/ Urban;25/04/2022;dev_premium;301-400
318;F;11;FAUX;FAUX;25k-50k;Commercial;Panel Truck;FAUX;0;7.0;Highly Urban/ Urban;24/03/2022;dev_integral;201-300
319;F;49;FAUX;VRAI;<25k;Private;z_SUV;FAUX;0;5.0;z_Highly Rural/ Rural;24/01/2022;dev_express;201-300
320;M;84;VRAI;VRAI;;Private;Pickup;VRAI;0;9.0;z_Highly Rural/ Rural;03/03/2022;dev_integral;301-400
321;F;61;FAUX;FAUX;>125k;Private;Van;VRAI;0;14.0;Highly Urban/ Urban;29/01/2022;dev_integral;301-400
322;F;92;VRAI;VRAI;<25k;Private;z_SUV;FAUX;0;4.0;z_Highly Rural/ Rural;29/04/2022;dev_integral;301-400
323;F;73;FAUX;FAUX;75k-100k;Private;Sports Car;FAUX;0;6.0;Highly Urban/ Urban;11/01/2022;dev_integral;301-400
324;F;44;FAUX;VRAI;<25k;Commercial;Pickup;FAUX;7;1.0;z_Highly Rural/ Rural;11/05/2022;dev_express;201-300
325;F;55;FAUX;VRAI;25k-50k;Private;z_SUV;FAUX;6;1.0;Highly Urban/ Urban;07/05/2022;dev_express;201-300
326;M;5;FAUX;FAUX;75k-100k;Commercial;Minivan;FAUX;3;1.0;Highly Urban/ Urban;08/02/2022;dev_express;201-300
327;F;72;FAUX;FAUX;75k-100k;Private;Minivan;VRAI;2;19.0;Highly Urban/ Urban;01/02/2022;dev_integral;301-400
328;F;61;FAUX;FAUX;25k-50k;Commercial;z_SUV;FAUX;3;12.0;Highly Urban/ Urban;10/03/2022;dev_integral;301-400
329;F;53;FAUX;FAUX;25k-50k;Private;Minivan;FAUX;1;1.0;Highly Urban/ Urban;08/03/2022;dev_integral;301-400
330;F;60;FAUX;FAUX;25k-50k;Private;z_SUV;FAUX;1;9.0;z_Highly Rural/ Rural;27/05/2022;dev_premium;401-500
331;F;50;FAUX;FAUX;50k-75k;Private;Pickup;VRAI;2;9.0;Highly Urban/ Urban;07/01/2022;dev_vip;601-700
332;M;81;VRAI;VRAI;<25k;Private;Minivan;VRAI;0;1.0;Highly Urban/ Urban;14/02/2022;dev_express;201-300
333;M;35;FAUX;FAUX;25k-50k;Private;Sports Car;FAUX;0;4.0;Highly Urban/ Urban;21/02/2022;dev_express;201-300
334;M;52;FAUX;VRAI;25k-50k;Commercial;Van;VRAI;0;7.0;z_Highly Rural/ Rural;09/04/2022;dev_integral;201-300
335;F;65;FAUX;VRAI;50k-75k;Commercial;Minivan;FAUX;5;9.0;Highly Urban/ Urban;25/03/2022;dev_integral;301-400
336;F;46;FAUX;VRAI;75k-100k;Private;z_SUV;FAUX;0;20.0;Highly Urban/ Urban;31/03/2022;dev_express;201-300
337;M;16;FAUX;FAUX;50k-75k;Private;Sports Car;FAUX;0;15.0;Highly Urban/ Urban;02/02/2022;dev_integral;201-300
338;M;50;FAUX;FAUX;25k-50k;Commercial;Pickup;VRAI;0;7.0;Highly Urban/ Urban;08/05/2022;dev_integral;301-400
339;M;39;FAUX;VRAI;100k-125k;Commercial;z_SUV;FAUX;0;9.0;Highly Urban/ Urban;04/04/2022;dev_integral;201-300
340;F;30;VRAI;VRAI;<25k;Private;Sports Car;FAUX;3;6.0;Highly Urban/ Urban;11/01/2022;dev_express;201-300
341;M;61;FAUX;VRAI;100k-125k;Commercial;Panel Truck;FAUX;4;8.0;Highly Urban/ Urban;22/03/2022;dev_express;201-300
342;M;81;FAUX;VRAI;25k-50k;Commercial;Sports Car;FAUX;0;1.0;Highly Urban/ Urban;30/01/2022;dev_integral;301-400
343;M;34;FAUX;FAUX;50k-75k;Private;z_SUV;FAUX;7;1.0;Highly Urban/ Urban;09/05/2022;dev_integral;301-400
344;M;74;FAUX;FAUX;25k-50k;Commercial;Minivan;FAUX;3;5.0;Highly Urban/ Urban;11/04/2022;dev_integral;201-300
345;M;55;FAUX;FAUX;100k-125k;Commercial;Van;VRAI;1;8.0;Highly Urban/ Urban;10/01/2022;dev_integral;301-400
346;M;55;FAUX;FAUX;100k-125k;Private;z_SUV;FAUX;2;;Highly Urban/ Urban;26/03/2022;dev_premium;401-500
347;F;23;FAUX;FAUX;50k-75k;Commercial;Panel Truck;FAUX;10;14.0;Highly Urban/ Urban;24/02/2022;dev_express;201-300
348;F;20;FAUX;VRAI;100k-125k;Commercial;Panel Truck;FAUX;3;3.0;Highly Urban/ Urban;05/03/2022;dev_integral;201-300
349;F;81;FAUX;FAUX;<25k;Private;Minivan;FAUX;0;10.0;Highly Urban/ Urban;30/04/2022;dev_express;201-300
350;M;35;FAUX;FAUX;<25k;Private;Sports Car;FAUX;0;1.0;z_Highly Rural/ Rural;26/01/2022;dev_integral;301-400
351;F;87;VRAI;VRAI;100k-125k;Private;Minivan;FAUX;4;10.0;Highly Urban/ Urban;06/01/2022;dev_vip;601-700
352;M;29;FAUX;FAUX;50k-75k;Private;Minivan;VRAI;0;13.0;Highly Urban/ Urban;09/01/2022;dev_integral;301-400
353;M;67;FAUX;VRAI;75k-100k;Commercial;z_SUV;FAUX;1;1.0;Highly Urban/ Urban;13/01/2022;dev_integral;301-400
354;F;82;FAUX;FAUX;>125k;Private;Sports Car;FAUX;8;20.0;Highly Urban/ Urban;10/05/2022;dev_integral;301-400
355;M;80;FAUX;VRAI;75k-100k;Commercial;Panel Truck;FAUX;0;1.0;z_Highly Rural/ Rural;02/03/2022;dev_integral;301-400
356;F;49;FAUX;VRAI;75k-100k;Private;Minivan;FAUX;2;18.0;Highly Urban/ Urban;30/01/2022;dev_express;201-300
357;F;53;FAUX;FAUX;;Private;z_SUV;FAUX;0;25.0;Highly Urban/ Urban;14/04/2022;dev_integral;201-300
358;M;30;FAUX;VRAI;100k-125k;Commercial;Panel Truck;VRAI;0;19.0;Highly Urban/ Urban;29/05/2022;dev_integral;301-400
359;M;5;FAUX;VRAI;25k-50k;Private;Pickup;VRAI;0;17.0;Highly Urban/ Urban;24/05/2022;dev_express;201-300
360;F;52;FAUX;FAUX;50k-75k;Commercial;Pickup;VRAI;2;11.0;z_Highly Rural/ Rural;27/01/2022;dev_integral;301-400
361;F;57;FAUX;FAUX;50k-75k;Private;Van;FAUX;3;13.0;Highly Urban/ Urban;07/05/2022;dev_express;201-300
362;M;72;FAUX;VRAI;25k-50k;Commercial;z_SUV;FAUX;0;8.0;z_Highly Rural/ Rural;06/03/2022;dev_premium;401-500
363;M;19;FAUX;VRAI;25k-50k;Commercial;z_SUV;FAUX;1;5.0;Highly Urban/ Urban;06/05/2022;dev_express;201-300
364;F;54;FAUX;VRAI;50k-75k;Private;Minivan;FAUX;0;1.0;z_Highly Rural/ Rural;23/01/2022;dev_premium;501-600
365;M;25;FAUX;VRAI;<25k;Commercial;z_SUV;FAUX;3;1.0;Highly Urban/ Urban;21/01/2022;dev_integral;201-300
366;M;63;FAUX;VRAI;;Private;Minivan;VRAI;1;;Highly Urban/ Urban;24/05/2022;dev_integral;301-400
367;F;40;FAUX;VRAI;25k-50k;Private;Minivan;VRAI;4;8.0;z_Highly Rural/ Rural;23/04/2022;dev_integral;201-300
368;F;62;FAUX;FAUX;>125k;Private;z_SUV;FAUX;0;9.0;Highly Urban/ Urban;19/02/2022;dev_express;201-300
369;F;69;FAUX;FAUX;25k-50k;Private;Minivan;FAUX;0;7.0;z_Highly Rural/ Rural;10/01/2022;dev_express;201-300
370;M;9;FAUX;VRAI;25k-50k;Private;Sports Car;FAUX;0;13.0;Highly Urban/ Urban;26/02/2022;dev_premium;401-500
371;F;34;VRAI;VRAI;<25k;Private;z_SUV;FAUX;0;10.0;Highly Urban/ Urban;03/01/2022;dev_express;201-300
372;M;60;FAUX;FAUX;;Private;Minivan;VRAI;0;;Highly Urban/ Urban;27/01/2022;dev_integral;301-400
373;M;85;FAUX;FAUX;25k-50k;Commercial;Panel Truck;FAUX;2;8.0;z_Highly Rural/ Rural;26/05/2022;dev_integral;301-400
374;F;50;FAUX;VRAI;<25k;Private;Minivan;FAUX;3;1.0;Highly Urban/ Urban;07/03/2022;dev_integral;301-400
375;F;51;FAUX;FAUX;25k-50k;Private;z_SUV;FAUX;3;;Highly Urban/ Urban;16/04/2022;dev_express;201-300
376;M;45;FAUX;VRAI;25k-50k;Private;z_SUV;FAUX;3;6.0;Highly Urban/ Urban;23/05/2022;dev_express;201-300
377;F;68;FAUX;VRAI;25k-50k;Private;z_SUV;FAUX;0;11.0;Highly Urban/ Urban;08/01/2022;dev_premium;401-500
378;M;21;FAUX;VRAI;50k-75k;Private;Minivan;FAUX;0;21.0;Highly Urban/ Urban;29/05/2022;dev_integral;301-400
379;M;71;VRAI;VRAI;25k-50k;Private;Minivan;VRAI;1;8.0;Highly Urban/ Urban;10/01/2022;dev_integral;301-400
380;F;56;FAUX;FAUX;75k-100k;Private;Minivan;FAUX;0;;Highly Urban/ Urban;18/04/2022;dev_integral;301-400
381;M;12;FAUX;VRAI;>125k;Private;Minivan;FAUX;1;18.0;Highly Urban/ Urban;16/01/2022;dev_express;201-300
382;M;78;FAUX;FAUX;50k-75k;Commercial;Van;VRAI;2;7.0;Highly Urban/ Urban;02/01/2022;dev_express;201-300
383;M;68;FAUX;FAUX;>125k;Commercial;Van;FAUX;3;16.0;Highly Urban/ Urban;18/03/2022;dev_integral;301-400
384;M;74;FAUX;FAUX;>125k;Private;Sports Car;FAUX;0;14.0;Highly Urban/ Urban;19/01/2022;dev_premium;401-500
385;M;11;FAUX;VRAI;75k-100k;Commercial;z_SUV;FAUX;0;11.0;Highly Urban/ Urban;06/05/2022;dev_integral;201-300
386;F;66;FAUX;VRAI;25k-50k;Commercial;z_SUV;FAUX;3;4.0;Highly Urban/ Urban;27/04/2022;dev_express;201-300
387;M;13;FAUX;FAUX;>125k;Private;Minivan;FAUX;4;19.0;Highly Urban/ Urban;16/02/2022;dev_express;201-300
388;F;90;FAUX;FAUX;;Private;Pickup;FAUX;0;14.0;Highly Urban/ Urban;06/03/2022;dev_integral;201-300
389;M;40;FAUX;FAUX;25k-50k;Private;z_SUV;FAUX;0;5.0;z_Highly Rural/ Rural;07/01/2022;dev_express;201-300
390;M;73;FAUX;VRAI;100k-125k;Private;Minivan;VRAI;0;16.0;Highly Urban/ Urban;23/02/2022;dev_express;201-300
391;F;42;VRAI;VRAI;100k-125k;Private;z_SUV;FAUX;0;12.0;Highly Urban/ Urban;11/04/2022;dev_integral;201-300
392;F;38;FAUX;FAUX;;Private;Sports Car;FAUX;1;15.0;Highly Urban/ Urban;16/03/2022;dev_integral;301-400
393;F;44;FAUX;FAUX;<25k;Commercial;Minivan;FAUX;2;11.0;Highly Urban/ Urban;13/05/2022;dev_express;201-300
394;M;48;FAUX;FAUX;100k-125k;Commercial;Panel Truck;VRAI;1;7.0;Highly Urban/ Urban;08/01/2022;dev_express;201-300
